,Código pai,Código,Descrição,Unidade,Coeficiente,Preço,Total
3443,C0987,I2070,TELHADISTA,H,0.09,23.17,2.0852999999999997
3444,C0987,I0917,CUMEEIRA FIBROCIMENTO ARTICULADA (MODULADA),M,1.976,31.08,61.41408
3445,C0987,I1574,PARAFUSO COM ROSCA SOBERBA 8X180MM,UN,0.112,1.74,0.19488
3446,C0986,C0986,CUBA DE LOUÇA DE EMBUTIR C/ TORNEIRA E ACESSÓRIOS, UN,,,
3447,C0986,I0043,AJUDANTE DE ENCANADOR,H,1.5,18.63,27.945
3448,C0986,I2320,ENCANADOR,H,1.5,22.72,34.08
3449,C0986,I0916,CUBA DE LOUÇA BRANCA DE EMBUTIR,UN,1,93.71,93.71
3450,C0986,I1091,ENGATE CROMADO,UN,1,17.71,17.71
3451,C0986,I1180,FITA DE VEDAÇÃO,M,0.84,0.28,0.2352
3452,C0986,I1864,"SIFÃO METALICO TIPO COPO DN 1""X1 1/2""",UN,1,129,129
3453,C0986,I2132,TORNEIRA DE PRESSÃO CROMADA P/LAVATORIO 1/2',UN,1,77.33,77.33
3454,C0986,I2272,"VÁLVULA DE METAL 1""",UN,1,14.99,14.99
3455,C0985,C0985,"CUBA DE INOX PARA BANCADA,COMPLETA", UN,,,
3456,C0985,I2320,ENCANADOR,H,1.5,22.72,34.08
3457,C0985,I0915,CUBA DE AÇO INOX,UN,1,131.61,131.61
3458,C0985,I1861,"SIFÃO CROMADO 1 1/4""X1 1/2""",UN,1,136.62,136.62
3459,C0985,I2271,"VÁLVULA DE METAL 1 1/4""",UN,1,31.67,31.67
3460,C0984,C0984,"CRUZETA PVC SOLD. MARROM D=85mm (3"")", UN,,,
3461,C0984,I0043,AJUDANTE DE ENCANADOR,H,0.6,18.63,11.177999999999999
3462,C0984,I2320,ENCANADOR,H,0.6,22.72,13.632
3463,C0984,I0026,ADESIVO PARA TUBO DE PVC RIGIDO,KG,0.08,45.16,3.6128
3464,C0984,I0912,CRUZETA PVC SOLD. MARROM DIAM. 85MM (3''),UN,1,54.91,54.91
3465,C0984,I1888,SOLUÇÃO LIMPADORA PARA PVC RIGIDO,L,0.012,39.22,0.47064
3466,C0983,C0983,"CRUZETA PVC SOLD. MARROM D=75mm (2 1/2"")", UN,,,
3467,C0983,I0043,AJUDANTE DE ENCANADOR,H,0.6,18.63,11.177999999999999
3468,C0983,I2320,ENCANADOR,H,0.6,22.72,13.632
3469,C0983,I0026,ADESIVO PARA TUBO DE PVC RIGIDO,KG,0.068,45.16,3.0708800000000003
3470,C0983,I0913,CRUZETA PVC SOLD. MARROM DIAM. 75MM (2 1/2''),UN,1,30.28,30.28
3471,C0983,I1888,SOLUÇÃO LIMPADORA PARA PVC RIGIDO,L,0.104,39.22,4.07888
3472,C0982,C0982,"CRUZETA PVC SOLD. MARROM D=60mm (2"")", UN,,,
3473,C0982,I0043,AJUDANTE DE ENCANADOR,H,0.4,18.63,7.452000000000001
3474,C0982,I2320,ENCANADOR,H,0.4,22.72,9.088000000000001
3475,C0982,I0026,ADESIVO PARA TUBO DE PVC RIGIDO,KG,0.04,45.16,1.8064
3476,C0982,I0911,CRUZETA PVC SOLD. MARROM DIAM. 60MM (2''),UN,1,21.51,21.51
3477,C0982,I1888,SOLUÇÃO LIMPADORA PARA PVC RIGIDO,L,0.06,39.22,2.3531999999999997
3478,C0981,C0981,"CRUZETA PVC SOLD. MARROM D=50mm (1 1/2"")", UN,,,
3479,C0981,I0043,AJUDANTE DE ENCANADOR,H,0.4,18.63,7.452000000000001
3480,C0981,I2320,ENCANADOR,H,0.4,22.72,9.088000000000001
3481,C0981,I0026,ADESIVO PARA TUBO DE PVC RIGIDO,KG,0.03,45.16,1.3548
3482,C0981,I0910,CRUZETA PVC SOLD. MARROM DIAM. 50MM (1 1/2''),UN,1,19.95,19.95
3483,C0981,I1888,SOLUÇÃO LIMPADORA PARA PVC RIGIDO,L,0.044,39.22,1.7256799999999999
3484,C0980,C0980,"CRUZETA PVC SOLD. MARROM D=40mm (1 1/4"")", UN,,,
3485,C0980,I0043,AJUDANTE DE ENCANADOR,H,0.4,18.63,7.452000000000001
3486,C0980,I2320,ENCANADOR,H,0.4,22.72,9.088000000000001
3487,C0980,I0026,ADESIVO PARA TUBO DE PVC RIGIDO,KG,0.02,45.16,0.9032
3488,C0980,I0909,CRUZETA PVC SOLD. MARROM DIAM. 40MM (1 1/4''),UN,1,9.66,9.66
3489,C0980,I1888,SOLUÇÃO LIMPADORA PARA PVC RIGIDO,L,0.028,39.22,1.09816
3490,C0999,C0999,CUMEEIRA NORMAL DE FIBROCIMENTO P/TELHA MAXIPLAC, M,,,
3491,C0999,I0047,AJUDANTE DE TELHADISTA,H,0.12,18.63,2.2356
3492,C0999,I2070,TELHADISTA,H,0.12,23.17,2.7803999999999998
3493,C0999,I0853,CONJUNTO VEDAÇÃO ELASTICA,UN,4,0.55,2.2
3494,C0999,I0923,CUMEEIRA FIBROCIMENTO NORMAL (MAXIPLAC),UN,1.04,59.19,61.5576
3495,C0999,I1574,PARAFUSO COM ROSCA SOBERBA 8X180MM,UN,4,1.74,6.96
3496,C0996,C0996,CUMEEIRA NORMAL DE FIBROCIMENTO P/TELHA CANALETE 90, M,,,
3497,C0996,I0047,AJUDANTE DE TELHADISTA,H,0.1,18.63,1.8630000000000002
3498,C0996,I2070,TELHADISTA,H,0.1,23.17,2.317
3499,C0996,I0920,CUMEEIRA FIBROCIMENTO NORMAL (CANALETE 90),UN,1.09,111.25,121.2625
3500,C0996,I1514,MASSA DE VEDAÇÃO,KG,0.327,29.57,9.66939
3501,C0996,I1572,PARAFUSO COM ROSCA SOBERBA 8X130MM,UN,0.213,1.16,0.24708
3502,C0995,C0995,CUMEEIRA NORMAL DE FIBROCIMENTO P/TELHA CANALETE 49, M,,,
3503,C0995,I0047,AJUDANTE DE TELHADISTA,H,0.07,18.63,1.3041
3504,C0995,I2070,TELHADISTA,H,0.07,23.17,1.6219000000000001
3505,C0995,I0853,CONJUNTO VEDAÇÃO ELASTICA,UN,4.28,0.55,2.354
3506,C0995,I0919,CUMEEIRA FIBROCIMENTO NORMAL (CANALETE 49),UN,2.04,40,81.6
3507,C0995,I1514,MASSA DE VEDAÇÃO,KG,0.82,29.57,24.2474
3508,C0995,I1576,PARAFUSO COM ROSCA SOBERBA 8X250MM,UN,4.28,3.14,13.439200000000001
3509,C0998,C0998,CUMEEIRA NORMAL DE FIBROCIMENTO P/TELHA KALHETÃO, M,,,
3510,C0998,I0047,AJUDANTE DE TELHADISTA,H,0.1,18.63,1.8630000000000002
3511,C0998,I2070,TELHADISTA,H,0.1,23.17,2.317
3512,C0998,I0922,CUMEEIRA FIBROCIMENTO NORMAL (KALHETAO),UN,1.12,111.25,124.60000000000001
3513,C0998,I1583,PARAFUSO N.14X40MM,UN,2,1.6,3.2
3514,C0997,C0997,CUMEEIRA NORMAL DE FIBROCIMENTO P/TELHA KALHETA DELTA, M,,,
3515,C0997,I0047,AJUDANTE DE TELHADISTA,H,0.08,18.63,1.4904
3516,C0997,I2070,TELHADISTA,H,0.08,23.17,1.8536000000000001
3517,C0997,I0853,CONJUNTO VEDAÇÃO ELASTICA,UN,4.54,0.55,2.497
3518,C0997,I0921,CUMEEIRA FIBROCIMENTO NORMAL (KALHETA),UN,2.27,40,90.8
3519,C0997,I1578,PARAFUSO COM ROSCA SOBERBA 8X85MM,UN,4.54,0.91,4.1314
3520,C3696,C3696,"TÊ AÇO ASTM A-120 ROSCÁVEL DE 40mm (1 1/2"")","120 ROSCÁVEL DE 40mm (1 1/2"") ",,,
3521,C3696,I0043,AJUDANTE DE ENCANADOR,H,0.78,18.63,14.5314
3522,C3696,I2320,ENCANADOR,H,0.78,22.72,17.721600000000002
3523,C3696,I6762,"TE AÇO ASTM  A-120 ROSCÁVEL DE 40mm (1 1/2"")",UN,1,5.3,5.3
3524,C3695,C3695,"REGISTRO GLOBO EM BRONZE ROSC. DE 3/4""", UN,,,
3525,C3695,I0043,AJUDANTE DE ENCANADOR,H,0.54,18.63,10.0602
3526,C3695,I2320,ENCANADOR,H,0.54,22.72,12.2688
3527,C3695,I1180,FITA DE VEDAÇÃO,M,0.94,0.28,0.2632
3528,C3695,I6780,"REGISTRO GLOBO EM BRONZE ROSCÁVEL DE 3/4""",UN,1,37.79,37.79
3529,C0994,C0994,CUMEEIRA DE CONCRETO COLORIDA INCLUSIVE EMBOÇAMENTO, M,,,
3530,C0994,I2391,PEDREIRO,H,0.5,23.17,11.585
3531,C0994,I2543,SERVENTE,H,0.52,17.14,8.9128
3532,C0994,I0109,AREIA MEDIA,M3,0.0025,67.5,0.16875
3533,C0994,I0441,CAL HIDRATADA,KG,0.324,1.1,0.3564
3534,C0994,I0805,CIMENTO PORTLAND,KG,0.324,0.56,0.18144000000000002
3535,C0994,I0927,CUMEEIRA PARA TELHA DE CONCRETO,UN,3.33,18.7,62.271
3536,C3694,C3694,"TÊ AÇO ASTM A-120 ROSCÁVEL DE 32mm (1 1/4"")","120 ROSCÁVEL DE 32mm (1 1/4"") ",,,
3537,C3694,I0043,AJUDANTE DE ENCANADOR,H,0.78,18.63,14.5314
3538,C3694,I2320,ENCANADOR,H,0.78,22.72,17.721600000000002
3539,C3694,I6761,"TE AÇO ASTM  A-120 ROSCÁVEL DE 32mm (1 1/4"")",UN,1,4.27,4.27
3540,C0993,C0993,CUMEEIRA DE ALUMÍNIO E=0.8mm, M,,,
3541,C0993,I1530,MONTADOR,H,0.2,23.17,4.634
3542,C0993,I2543,SERVENTE,H,0.2,17.14,3.4280000000000004
3543,C0993,I1215,GANCHO COM PORCA E ARRUELA,UN,3,1.82,5.46
3544,C0993,I2048,TELHA DE ALUMÍNIO,KG,1.42,30.12,42.770399999999995
3545,C3693,C3693,"TÊ AÇO ASTM A-120 ROSCÁVEL DE 25mm (1"")","120 ROSCÁVEL DE 25mm (1"") ",,,
3546,C3693,I0043,AJUDANTE DE ENCANADOR,H,0.46,18.63,8.5698
3547,C3693,I2320,ENCANADOR,H,0.46,22.72,10.4512
3548,C3693,I6760,"TE AÇO ASTM  A-120 ROSCÁVEL DE 25mm (1"")",UN,1,3.8,3.8
3549,C3699,C3699,"TÊ AÇO ASTM  A-120  ROSCÁVEL DE 100mm (4"")","120  ROSCÁVEL DE 100mm (4"") ",,,
3550,C3699,I0043,AJUDANTE DE ENCANADOR,H,1.15,18.63,21.4245
3551,C3699,I2320,ENCANADOR,H,1.15,22.72,26.127999999999997
3552,C3699,I6765,"TE AÇO ASTM  A-120 ROSCÁVEL DE 100mm (4"")",UN,1,118,118
3553,C0990,C0990,"CUMEEIRA CERÂMICA DA TELHA RETANGULAR ""TIMOM""", M,,,
3554,C0990,I0047,AJUDANTE DE TELHADISTA,H,0.52,18.63,9.6876
3555,C0990,I2070,TELHADISTA,H,0.52,23.17,12.0484
3556,C0990,I0108,AREIA GROSSA,M3,0.0025,74.72,0.1868
3557,C0990,I0441,CAL HIDRATADA,KG,0.324,1.1,0.3564
3558,C0990,I0805,CIMENTO PORTLAND,KG,0.324,0.56,0.18144000000000002
3559,C0990,I2047,"TELHA CERÂMICA,TIPO RETANGULAR C/ ESBARRO""TIMON""",UN,3,1.93,5.79
3560,C3698,C3698,"TÊ AÇO ASTM  A-120  ROSCÁVEL DE 80mm (3"")","120  ROSCÁVEL DE 80mm (3"") ",,,
3561,C3698,I0043,AJUDANTE DE ENCANADOR,H,0.93,18.63,17.3259
3562,C3698,I2320,ENCANADOR,H,0.93,22.72,21.1296
3563,C3698,I6764,"TE AÇO ASTM  A-120 ROSCÁVEL DE 80mm (3"")",UN,1,97,97
3564,C3697,C3697,"TÊ AÇO ASTM A-120 ROSCÁVEL DE 50mm (2"")","120 ROSCÁVEL DE 50mm (2"") ",,,
3565,C3697,I0043,AJUDANTE DE ENCANADOR,H,0.78,18.63,14.5314
3566,C3697,I2320,ENCANADOR,H,0.78,22.72,17.721600000000002
3567,C3697,I6763,"TE AÇO ASTM  A-120 ROSCÁVEL DE 50mm (2"")",UN,1,72.42,72.42
3568,C3600,C3600,MUTIRÃO MISTO," REGISTRO DE PRESSÃO D=20mm (3/4"") ",,,
3569,C3600,I2320,ENCANADOR,H,0.61,22.72,13.8592
3570,C3600,I1180,FITA DE VEDAÇÃO,M,0.94,0.28,0.2632
3571,C3600,I6121,"REGISTRO DE PRESSÃO SIMPLES 3/4"" (PADRÃO MUTIRÃO)",UN,1,15.57,15.57
3572,C3601,C3601,"REGISTRO DE PRESSÃO D=20mm (3/4"")", PADRÃO POPULAR ,,,
3573,C3601,I0043,AJUDANTE DE ENCANADOR,H,0.61,18.63,11.3643
3574,C3601,I2320,ENCANADOR,H,0.61,22.72,13.8592
3575,C3601,I1180,FITA DE VEDAÇÃO,M,0.94,0.28,0.2632
3576,C3601,I6121,"REGISTRO DE PRESSÃO SIMPLES 3/4"" (PADRÃO MUTIRÃO)",UN,1,15.57,15.57
3577,C3608,C3608,"CONFECÇÃO E MONTAGEM DE SAPATA PRÉ-MOLDADA DE CONCRETO P/TERMINAL RODOVIÁRIO  TIPO ""A""","MOLDADA DE CONCRETO P/TERMINAL RODOVIÁRIO  TIPO ""A"" ",,,
3578,C3608,I0584,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHI),H,1.5,46.04095602666666,69.06143404
3579,C3608,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.36,24.420759936,8.79147357696
3580,C3608,I0705,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHP),H,1.5,129.14623602666666,193.71935404
3581,C3608,I1858,SERRALHEIRO,H,7.8,23.17,180.726
3582,C3608,I1879,SOLDADOR,H,1,23.83,23.83
3583,C3608,I2391,PEDREIRO,H,6,23.17,139.02
3584,C3608,I2543,SERVENTE,H,14,17.14,239.96
3585,C3608,I0102,ARAME GALVANIZADO N.18 BWG,KG,1.5,22.48,33.72
3586,C3608,I0108,AREIA GROSSA,M3,0.71,74.72,53.051199999999994
3587,C3608,I0163,AÇO CA-50,KG,74.75,9.5,710.125
3588,C3608,I0280,BRITA,M3,0.63,76.19,47.9997
3589,C3608,I0471,"CANTONEIRA METÁLICA DE 4"" X 4"" X 3/8"" (14,60KG/M)
",KG,4.5,8.48,38.16
3590,C3608,I0534,"CHAPA DE AÇO FINA 3/16"" (4,75MM - 38,00KG/M2)
",KG,22,7.06,155.32
3591,C3608,I0805,CIMENTO PORTLAND,KG,327.5,0.56,183.4
3592,C3608,I1872,SOLDA 50X50,KG,0.6,82.73,49.638
3593,C3609,C3609,"CONFECÇÃO E MONTAGEM DE PILAR PRÉ-MOLDADO DE CONCRETO P/TERMINAL RODOVIARIO  TIPO ""A""","MOLDADO DE CONCRETO P/TERMINAL RODOVIARIO  TIPO ""A"" ",,,
3594,C3609,I0584,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHI),H,1,46.04095602666666,46.04095602666666
3595,C3609,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.3,24.420759936,7.3262279808
3596,C3609,I0705,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHP),H,1,129.14623602666666,129.14623602666666
3597,C3609,I1858,SERRALHEIRO,H,8.78,23.17,203.43259999999998
3598,C3609,I1879,SOLDADOR,H,1.8,23.83,42.894
3599,C3609,I2391,PEDREIRO,H,5.27,23.17,122.10589999999999
3600,C3609,I2543,SERVENTE,H,13.93,17.14,238.7602
3601,C3609,I0102,ARAME GALVANIZADO N.18 BWG,KG,1.46,22.48,32.8208
3602,C3609,I0108,AREIA GROSSA,M3,0.48,74.72,35.8656
3603,C3609,I0163,AÇO CA-50,KG,73.2,9.5,695.4
3604,C3609,I0280,BRITA,M3,0.55,76.19,41.904500000000006
3605,C3609,I0471,"CANTONEIRA METÁLICA DE 4"" X 4"" X 3/8"" (14,60KG/M)
",KG,18,8.48,152.64
3606,C3609,I0534,"CHAPA DE AÇO FINA 3/16"" (4,75MM - 38,00KG/M2)
",KG,35,7.06,247.1
3607,C3609,I0799,CIMENTO BRANCO,KG,4,3.28,13.12
3608,C3609,I0805,CIMENTO PORTLAND,KG,234.85,0.56,131.516
3609,C3609,I1872,SOLDA 50X50,KG,12,82.73,992.76
3610,C3609,I2099,TINTA PRIMARIA,L,1.6,7.83,12.528
3611,C3606,C3606,"CONFECÇÃO E MONTAGEM DE ABÓBADAS PRÉ-MOLDADAS DE CONCRETO P/TERMINAL RODOVIARIO  TIPO ""A""","MOLDADAS DE CONCRETO P/TERMINAL RODOVIARIO  TIPO ""A"" ",,,
3612,C3606,I0633,GUINDASTE HIDRÁULICO SOBRE PNEUS HP 142 (CHI),H,0.77,68.85261100000001,53.01651047000001
3613,C3606,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,0.15,24.420759936,3.6631139904
3614,C3606,I0747,GUINDASTE HIDRÁULICO SOBRE PNEUS HP 142 (CHP),H,0.77,201.94527766666667,155.49786380333333
3615,C3606,I1858,SERRALHEIRO,H,8.83,23.17,204.5911
3616,C3606,I1879,SOLDADOR,H,2.6,23.83,61.958000000000006
3617,C3606,I2391,PEDREIRO,H,4.52,23.17,104.7284
3618,C3606,I2543,SERVENTE,H,15.2,17.14,260.52799999999996
3619,C3606,I0102,ARAME GALVANIZADO N.18 BWG,KG,1.61,22.48,36.192800000000005
3620,C3606,I0108,AREIA GROSSA,M3,0.29,74.72,21.668799999999997
3621,C3606,I0163,AÇO CA-50,KG,80.3,9.5,762.85
3622,C3606,I0280,BRITA,M3,0.38,76.19,28.9522
3623,C3606,I0471,"CANTONEIRA METÁLICA DE 4"" X 4"" X 3/8"" (14,60KG/M)
",KG,19,8.48,161.12
3624,C3606,I0534,"CHAPA DE AÇO FINA 3/16"" (4,75MM - 38,00KG/M2)
",KG,47,7.06,331.82
3625,C3606,I0799,CIMENTO BRANCO,KG,10,3.28,32.8
3626,C3606,I0805,CIMENTO PORTLAND,KG,134,0.56,75.04
3627,C3606,I1872,SOLDA 50X50,KG,1.15,82.73,95.1395
3628,C3606,I2099,TINTA PRIMARIA,L,4,7.83,31.32
3629,C3607,C3607,CONFECÇÃO E MONTAGEM DE PÓRTICO INDICATIVO PRÉ-MOLDADO DE CONCRETO P/TERMINAL RODOVIÁRIO,MOLDADO DE CONCRETO P/TERMINAL RODOVIÁRIO ,,,
3630,C3607,I0584,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHI),H,6,46.04095602666666,276.24573616
3631,C3607,I0682,BETONEIRA ELÉTRICA 580L (CHP),H,2.1,24.420759936,51.2835958656
3632,C3607,I0705,CAMINHÃO COMERC. EQUIP. C/GUINDASTE (CHP),H,6,129.14623602666666,774.87741616
3633,C3607,I1858,SERRALHEIRO,H,101,23.17,2340.17
3634,C3607,I1879,SOLDADOR,H,8.6,23.83,204.938
3635,C3607,I2391,PEDREIRO,H,36.9,23.17,854.973
3636,C3607,I2395,PINTOR,H,24,23.17,556.08
3637,C3607,I2543,SERVENTE,H,71.8,17.14,1230.652
3638,C3607,I0102,ARAME GALVANIZADO N.18 BWG,KG,8.74,22.48,196.4752
3639,C3607,I0108,AREIA GROSSA,M3,3.57,74.72,266.7504
3640,C3607,I0163,AÇO CA-50,KG,461.9,9.5,4388.05
3641,C3607,I0280,BRITA,M3,3.42,76.19,260.5698
3642,C3607,I0471,"CANTONEIRA METÁLICA DE 4"" X 4"" X 3/8"" (14,60KG/M)
",KG,57.7,8.48,489.29600000000005
3643,C3607,I0534,"CHAPA DE AÇO FINA 3/16"" (4,75MM - 38,00KG/M2)
",KG,145.9,7.06,1030.054
3644,C3607,I0799,CIMENTO BRANCO,KG,22,3.28,72.16
3645,C3607,I0805,CIMENTO PORTLAND,KG,1632,0.56,913.92
3646,C3607,I1872,SOLDA 50X50,KG,6.2,82.73,512.926
3647,C3607,I2097,TINTA LATEX ACRÍLICA,L,10.8,24.59,265.572
3648,C3607,I2099,TINTA PRIMARIA,L,5.4,7.83,42.282000000000004
3649,C3604,C3604,MUTIRÃO MISTO," ALVENARIA DE EMBASAMENTO C/TIJ. FURADO, C/ ARG. MISTA C/CAL HIDRATADA ",,,
3650,C3604,I2391,PEDREIRO,H,8.5,23.17,196.945
3651,C3604,I0108,AREIA GROSSA,M3,0.21,74.72,15.6912
3652,C3604,I0441,CAL HIDRATADA,KG,30.95,1.1,34.045
3653,C3604,I0805,CIMENTO PORTLAND,KG,30.95,0.56,17.332
3654,C3604,I2081,TIJOLO CERÂMICO FURADO  9X19X19CM,UN,235,0.68,159.8
3655,C3605,C3605,"LIMPEZA DA UNIDADE CASA TIPO ""T 01""", PADRÃO POPULAR ,,,
3656,C3605,I2543,SERVENTE,H,8,17.14,137.12
3657,C3602,C3602,MUTIRÃO MISTO," PIA DE COZINHA EM CIMENTO (1,20x0,50)m ",,,
3658,C3602,I2391,PEDREIRO,H,2.75,23.17,63.7175
3659,C3602,I0108,AREIA GROSSA,M3,0.018,74.72,1.34496
3660,C3602,I0805,CIMENTO PORTLAND,KG,3.35,0.56,1.8760000000000001
3661,C3602,I6119,"PIA DE COZINHA DE CIMENTO - 1,20 M (PADRÃO MUTIRÃO)",UN,1,35.46,35.46
3662,C3602,I6120,"TORNEIRA DE PLÁSTICO 3/4"" (PADRÃO MUTIRÃO)",UN,1,10.29,10.29
3663,C0217,C0217,-,-,0.16,12.649,2.02384
3664,C3603,C3603,"PIA DE COZINHA EM CIMENTO (1,20x0,50)m", PADRÃO POPULAR ,,,
3665,C3603,I2391,PEDREIRO,H,1.5,23.17,34.755
3666,C3603,I2543,SERVENTE,H,1.5,17.14,25.71
3667,C3603,I0108,AREIA GROSSA,M3,0.018,74.72,1.34496
3668,C3603,I0805,CIMENTO PORTLAND,KG,3.35,0.56,1.8760000000000001
3669,C3603,I1180,FITA DE VEDAÇÃO,M,0.75,0.28,0.21
3670,C3603,I6119,"PIA DE COZINHA DE CIMENTO - 1,20 M (PADRÃO MUTIRÃO)",UN,1,35.46,35.46
3671,C3603,I6120,"TORNEIRA DE PLÁSTICO 3/4"" (PADRÃO MUTIRÃO)",UN,1,10.29,10.29
3672,C3603,I7603,SIFÃO PVC MULTI-USO (PIAS/TANQUES/LAVATÓRIO),UN,1,13.91,13.91
3673,C3603,I8286,VÁLVULA PVC P/ COZINHA,UN,1,5.18,5.18
3674,C0901,C0901,CORPO DE BUEIRO SIMPLES CAPEADO (3.00 X 2.50m), M,,,
3675,C0057,C0057,-,-,6.1,395.6994800604319,2413.7668283686344
3676,C0216,C0216,-,-,49.649,14.469999999999999,718.42103
3677,C1402,C1402,-,-,14.2,63.6731,904.15802
3678,C3270,C3270,-,-,1.08,372.8987524743419,402.7306526722893
3679,C3351,C3351,-,-,7.5,61.205,459.0375
3680,C3627,C3627,"LUMINÁRIA DE ALTO RENDIMENTO, CORPO EM ALUMÍNIO FUNDIDO P/ LÂMPADAS VAPOR DE SÓDIO 400W", UN,,,
3681,C3627,I0042,AJUDANTE DE ELETRICISTA,H,2,18.63,37.26
3682,C3627,I2312,ELETRICISTA,H,2,23.17,46.34
3683,C3627,I1480,LÂMPADA VAPOR DE SÓDIO 360W,UN,1,53.5,53.5
3684,C3627,I1782,REATOR AFP P/ LÂMP. V. SÓDIO 360W,UN,1,154.63,154.63
3685,C3627,I6697,"LUMINARIA ALTO RENDIMENTO, CORPO EM ALUMINIO FUNDIDO MOD. TP-295 VP-40 FAB.TROPICO OU SUMILAR",UN,1,345.38,345.38
3686,C0900,C0900,CORPO DE BUEIRO SIMPLES CAPEADO (3.00 X 2.00m), M,,,
3687,C0057,C0057,-,-,5.35,395.6994800604319,2116.9922183233107
3688,C0216,C0216,-,-,49.649,14.469999999999999,718.42103
3689,C1402,C1402,-,-,12.2,63.6731,776.8118199999999
3690,C3270,C3270,-,-,1.08,372.8987524743419,402.7306526722893
3691,C3351,C3351,-,-,6,61.205,367.23
3692,C3626,C3626,POSTE METÁLICO DECORATIVO CÔNICO RETO FLANGEADO H=4.0m P/01 OU 02 LUMINÁRIAS DECORATIVAS, UN,,,
3693,C3626,I2312,ELETRICISTA,H,0.35,23.17,8.109499999999999
3694,C3626,I2543,SERVENTE,H,32,17.14,548.48
3695,C3626,I0109,AREIA MEDIA,M3,0.168,67.5,11.34
3696,C3626,I0280,BRITA,M3,0.211,76.19,16.07609
3697,C3626,I0356,"CABO ISOLADO PVC 750V 2,5 MM2",M,16,1.96,31.36
3698,C3626,I0805,CIMENTO PORTLAND,KG,53,0.56,29.68
3699,C3626,I2389,"PARAFUSO MAQUINA ZINCADO 5/8 x 14"" C/ ARRUELAS/PORCA",UN,4,10.96,43.84
3700,C3626,I6695,"SUPORTE METÁLICO CENTRAL P/LUMINARIA MOD.TPC.295/1"" FAB.TROPICO OU SIMILAR",UN,1,106.12,106.12
3701,C3626,I6696,"POSTE METALICO DECORATIVO H=4.0m , MOD. LP-588.B/140.GJ - FAB.TROPICO OU SIMILAR",UN,1,414.64,414.64
3702,C3625,C3625,POSTE METÁLICO CÔNICO RETO FLANGEADO H=10.0m P/02 LUMINÁRIAS DECORATIVAS, UN,,,
3703,C3625,I2312,ELETRICISTA,H,0.35,23.17,8.109499999999999
3704,C3625,I2543,SERVENTE,H,32,17.14,548.48
3705,C3625,I0109,AREIA MEDIA,M3,0.168,67.5,11.34
3706,C3625,I0280,BRITA,M3,0.211,76.19,16.07609
3707,C3625,I0356,"CABO ISOLADO PVC 750V 2,5 MM2",M,20.5,1.96,40.18
3708,C3625,I0805,CIMENTO PORTLAND,KG,53,0.56,29.68
3709,C3625,I2389,"PARAFUSO MAQUINA ZINCADO 5/8 x 14"" C/ ARRUELAS/PORCA",UN,4,10.96,43.84
3710,C3625,I6694,"POSTE METALICO CONICO RETO H=10.0m,  MOD. LP-531.B/100.GJ  - FAB.TROPICO OU SIMILAR",UN,1,631.5,631.5
3711,C3625,I6695,"SUPORTE METÁLICO CENTRAL P/LUMINARIA MOD.TPC.295/1"" FAB.TROPICO OU SIMILAR",UN,1,106.12,106.12
3712,C0903,C0903,CORPO DE BUEIRO TRIPLO CAPEADO  (1.00 X 1.00m), M,,,
3713,C0057,C0057,-,-,4.69,395.6994800604319,1855.8305614834258
3714,C0216,C0216,-,-,13.53,14.469999999999999,195.77909999999997
3715,C0218,C0218,-,-,3.432,13.067,44.845943999999996
3716,C1402,C1402,-,-,12.62,63.6731,803.5545219999999
3717,C3270,C3270,-,-,0.714,372.8987524743419,266.2497092666801
3718,C3351,C3351,-,-,3,61.205,183.615
3719,C3624,C3624,DUTOS FLEXÍVEIS EM PEAD (POLIETILENO DE ALTA DENSIDADE)," D=6"", INCLUSIVE CONEXÕES ",,,
3720,C3624,I0042,AJUDANTE DE ELETRICISTA,H,1.5,18.63,27.945
3721,C3624,I2312,ELETRICISTA,H,1.5,23.17,34.755
3722,C3624,I6693,"DUTO FLEXIVEL EM PEAD - D=160mm (6""), C/CONEXÕES",M,1.1,25.87,28.457
3723,C0902,C0902,CORPO DE BUEIRO SIMPLES CAPEADO (3.00 X 3.00m), M,,,
3724,C0057,C0057,-,-,6.85,395.6994800604319,2710.541438413958
3725,C0216,C0216,-,-,49.649,14.469999999999999,718.42103
3726,C1402,C1402,-,-,16.2,63.6731,1031.50422
3727,C3270,C3270,-,-,1.08,372.8987524743419,402.7306526722893
3728,C3351,C3351,-,-,9,61.205,550.845
3729,C3629,C3629,"PLACA EM CHAPA GALVANIZADA C/ESTRUTURA INTERNA EM METALON PINTADA, IMPRESSÃO EM VINIL 02 FACES, ABRAÇADEIRAS", M2,,,
3730,C3629,I1530,MONTADOR,H,2,23.17,46.34
3731,C3629,I2543,SERVENTE,H,1,17.14,17.14
