Código,Descrição,Unidade,Preço unitário
C4756,"PRATELEIRA DE GRANITO CINZA ESP.=2CM                                    
",M2,248.52
C2910,PRATELEIRA DE MADEIRA DE LEI PLAINADA,M2,144.92
C2023,PRATELEIRA DE MÁRMORE NATURAL POLIDA DE 1 FACE,M2,271.42
C2024,PRATELEIRA DE MÁRMORE NATURAL POLIDA DE 2 FACES,M2,271.42
C2021,PRATELEIRA DE MARMORITE NATURAL POLIDA DE 1 FACE,M2,172.63
C2022,PRATELEIRA DE MARMORITE NATURAL POLIDA DE 2 FACES,M2,194.22
C4757,"PRATELEIRA PRÉ-MOLDADA ""IN LOCO"" DE CONCRETO ESP.=5,0CM                                
",M2,514.37
C3674,SUPORTE EM BARRA CHATA DE FERRO ENGASTADO NA PAREDE P/BANCADAS E/OU PRATELEIRAS,UN,13.73
C0363,BANDEIROLA EM MADEIRA,M2,163.82
C1284,ESQUADRIAS DE MADEIRA E VIDRO,M2,399.68
C3544,JANELA TIPO FICHA (1.40X1.10)m - MADEIRA MISTA - COMPLETA - PADRÃO POPULAR,UN,356.24
C1519,JANELA VENEZIANA MÓVEL (S/ACESSÓRIOS),M2,269.42
C3543,MUTIRÃO MISTO - JANELA TIPO FICHA (1.40X1.10)m - MADEIRA MISTA - COMPLETA,UN,262.38
C3541,MUTIRÃO MISTO - PORTA TIPO FICHA (0.60X2.10)m - MADEIRA MISTA - COMPLETA,UN,301.11
C3537,MUTIRÃO MISTO - PORTA TIPO FICHA (0.80X2.10)m - ROLADA MADEIRA MISTA - COMPLETA C/FECHADURA,UN,357.42
C3539,MUTIRÃO MISTO - PORTA TIPO FICHA (0.80X2.10)m - ROLADA MADEIRA MISTA - COMPLETA S/FECHADURA,UN,315.78
C1959,PORTA COMPENSADO P/ARMÁRIO EMBUTIDO C/BATENTE DE (7X1.5)cm,M2,178.76
C1960,PORTA COMPENSADO P/ARMÁRIO SOB PIA,M2,189.92
C1962,"PORTA COMPLETA, BLINDOR/CHUMBO (0,60X2.1O)m (S/ACESSÓRIOS)",UN,2117.54
C1963,"PORTA COMPLETA, BLINDOR/CHUMBO (0,80X2,10)m  (S/ACESSÓRIOS)",UN,2771.13
C1961,"PORTA COMPLETA, BLINDOR/CHUMBO (1,20X2,10)m (S/ACESSÓRIOS)",UN,4078.32
C1977,PORTA EXTERNA DE CEDRO LISA COMPLETA UMA FOLHA (0.80X 2.10)m,UN,776.23
C1978,PORTA EXTERNA DE CEDRO LISA COMPLETA UMA FOLHA (0.90X2.10)m,UN,845.15
C1979,PORTA EXTERNA DE CEDRO LISA COMPLETA UMA FOLHA (1.00X2.10)m,UN,872.24
C1985,PORTA INTERNA DE CEDRO LISA COMPLETA UMA FOLHA (0.60X 2.10)m,UN,759.16
C1986,PORTA INTERNA DE CEDRO LISA COMPLETA UMA FOLHA (0.70X 2.10)m,UN,785.85
C1987,PORTA INTERNA DE CEDRO LISA COMPLETA UMA FOLHA (0.80X 2.10)m,UN,812.53
C1988,PORTA INTERNA DE CEDRO LISA COMPLETA UMA FOLHA (0.90X 2.10)m,UN,881.45
C1989,PORTA INTERNA DE CEDRO LISA COMPLETA UMA FOLHA (1.00X 2.10)m,UN,908.54
C1974,PORTA EXTERNA DE CEDRO LISA COMPLETA DUAS FOLHAS (1.60X2.10)m,UN,1220.65
C1975,PORTA EXTERNA DE CEDRO LISA COMPLETA DUAS FOLHAS (1.80X2.10)m,UN,1358.49
C1976,PORTA EXTERNA DE CEDRO LISA COMPLETA DUAS FOLHAS (2.00X2.10)m,UN,1412.67
C1980,PORTA INTERNA DE CEDRO LISA COMPLETA DUAS FOLHAS (1.20X 2.10)m,UN,1165.79
C1981,PORTA INTERNA DE CEDRO LISA COMPLETA DUAS FOLHAS (1.40X 2.10)m,UN,1219.17
C1982,PORTA INTERNA DE CEDRO LISA COMPLETA DUAS FOLHAS (1.60X 2.10)m,UN,1272.53
C1983,PORTA INTERNA DE CEDRO LISA COMPLETA DUAS FOLHAS (1.80X 2.10)m,UN,1410.37
C1984,PORTA INTERNA DE CEDRO LISA COMPLETA DUAS FOLHAS (2.00X 2.10)m,UN,1464.55
C4604,"PORTA EXTERNA DE MUIRACATIARA 1 FOLHA COMPLETA (0,60x2,10x0,03m)",UN,1038.6
C1992,PORTA TIPO EUCATEX  (S/ACESSÓRIOS),UN,272.92
C3405,"PORTA TIPO FICHA  EXTERNA-PADRÃO FUNASA (0,55X1,90m)",UN,353.74
C3542,PORTA TIPO FICHA (0.60X2.10)m - MADEIRA MISTA - COMPLETA - PADRÃO POPULAR,UN,394.97
C3538,PORTA TIPO FICHA (0.80X2.10)m - ROLADA MADEIRA MISTA - COMPLETA C/FECHADURA - PADRÃO POPULAR,UN,451.64
C3540,PORTA TIPO FICHA (0.80X2.10)m - ROLADA MADEIRA MISTA - COMPLETA S/FECHADURA - PADRÃO POPULAR,UN,409.64
C1993,PORTA TIPO FICHA EMBUTIDA (S/ACESSÓRIOS),M2,353.22
C1994,PORTA TIPO PARANÁ (S/ACESSÓRIOS),M2,127.18
C4423,"PORTA TIPO PARANÁ (0,60 x 2,10 m), C/ FERRAGENS",UN,324.3
C4424,"PORTA TIPO PARANÁ (0,60 x 2,10 m), COMPLETA",UN,777.74
C4425,"PORTA TIPO PARANÁ (0,70 x 2,10 m), C/ FERRAGENS",UN,333.22
C4426,"PORTA TIPO PARANÁ (0,70 x 2,10 m), COMPLETA",UN,786.66
C4427,"PORTA TIPO PARANÁ (0,80 x 2,10 m), C/ FERRAGENS",UN,348.21
C4428,"PORTA TIPO PARANÁ (0,80 x 2,10 m), COMPLETA",UN,801.65
C4396,"PORTA TIPO VENEZIANA  0,60x1.80 (FORNECIMENTO E MONTAGEM)",UN,301.85
C0807,COFRE-TRANCA PARA GRADES DE FERRO SEGURANÇA MÁXIMA,UN,2596.09
C4560,GRADE DE ALUMÍNIO DE PROTEÇÃO,M2,233.83
C1426,GRADE DE FERRO DE PROTEÇÃO,M2,222.31
C3681,GRADE DE FERRO TUBULAR C/MOLDURA EM BARRA CHATA DE FERRO,M2,376.15
C4955,"GRADE DE FERRO P/CELAS DE SEGURANÇA MÁXIMA, EM FERRO CHATO 2"" X 3/8"" (40KG/M2) E AÇO CA-60 (32KG/M2)",M2,1017.22
C1437,GRELHA DE FERRO P/CANALETAS,M2,249.77
C4830,"JANELA BASCULANTE EM ALUMÍNIO ANODIZADO NATURAL, EXCLUSIVE VIDRO",M2,430.01
C1516,"JANELA DE ALUMÍNIO, TIPO VENEZIANA",M2,532.55
C1517,JANELA DE FERRO TIPO CAIXILHO BASCULANTE OU FIXO,M2,298.52
C1518,JANELA DE FERRO TIPO CAIXILHO DE CORRER OU MAXIMAR,M2,350.41
C4515,"JANELA EM ALUMÍNIO ANODIZADO NATURAL/FOSCO, DE CORRER, COM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,287.1
C4513,"JANELA EM ALUMÍNIO ANODIZADO NATURAL/FOSCO, DE CORRER, SEM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,244.51
C4519,"JANELA EM ALUMÍNIO ANODIZADO PRETO, DE CORRER, SEM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,270.2
C4521,"JANELA EM ALUMÍNIO ANODIZADO PRETO, DE CORRER, COM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,311.71
C1958,"PORTA DE FERRO COMPACTA EM CHAPA, INCLUS. BATENTES E FERRAGENS",M2,331.27
C1966,"PORTA CORTA-FOGO UMA FOLHA (0,80X2,10)m  OU  (0,90x2,10)m",UN,1003.86
C1964,"PORTA CORTA-FOGO DUAS FOLHAS LARG.=1,20 A 2,20m  E ALT.=2,10 A 2,40 m",UN,1151.96
C1965,PORTA CORTA-FOGO INDUSTRIAL DE CORRER,M2,1696.47
C1969,PORTA DE AÇO EM CHAPA ONDULADA OU GRADES DE ENROLAR,M2,329.04
C1967,PORTA DE ALUMÍNIO ANODIZADO COMPACTA,M2,532.86
C1968,PORTA DE ALUMÍNIO C/VIDRO CRISTAL TEMPERADO,M2,398.56
C1973,PORTA DE ALUMÍNIO E ACRÍLICO,M2,408.13
C1970,PORTA DE FERRO EM CHAPA,M2,250.33
C4518,"PORTA EM ALUMÍNIO ANODIZADO NATURAL/FOSCO, DE ABRIR, COM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,352.25
C4517,"PORTA EM ALUMÍNIO ANODIZADO NATURAL/FOSCO, DE ABRIR, SEM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,319.73
C4516,"PORTA EM ALUMÍNIO ANODIZADO NATURAL/FOSCO, DE CORRER, COM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,343.51
C4514,"PORTA EM ALUMÍNIO ANODIZADO NATURAL/FOSCO, DE CORRER, SEM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,316.97
C4524,"PORTA EM ALUMÍNIO ANODIZADO PRETO, DE ABRIR, COM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,387.53
C4523,"PORTA EM ALUMÍNIO ANODIZADO PRETO, DE ABRIR, SEM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,354.23
C4522,"PORTA EM ALUMÍNIO ANODIZADO PRETO, DE CORRER, COM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,364.05
C4520,"PORTA EM ALUMÍNIO ANODIZADO PRETO, DE CORRER, SEM BANDEIROLA E/OU PEITORIL, SEM VIDRO - FORNECIMENTO E MONTAGEM",M2,352.25
C3737,PORTA FRIGORÍFICA TERMO-ISOLANTE DE ACIONAMENTO MANUAL C/AQUECIMENTO. 2100X1000X150MM -( FORNECIMENTO,UN,2718.18
C1991,"PORTA SASAZAKI-VENEZIANA, INCLUSIVE BATENTES E FERRAGENS",M2,316.1
C4872,"PORTÃO COM PERFIL EM TUBO DE AÇO GALVANIZADO DE 2"" (1X2,5)m, INCL. PILARES DE SUSTENTAÇÃO",UN,1739.45
C4873,"PORTÃO COM PERFIL EM TUBO DE AÇO GALVANIZADO DE 2"" (4X2,5)m, INCL. PILARES DE SUSTENTAÇÃO",UN,4948.98
C3733,"PORTÃO DE ALUMÍNIO ANODIZADO NATURAL, FECHAMENTO TOTAL C/ LAMBRI BOLA E CORREDIÇO (FORNECIMENTO E MONTAGEM)",M2,380.2
C4397,PORTÃO DE ALUMÍNIO EM TUBOS DE 20 mm (FORNECIMENTO E MONTAGEM),M2,351.81
C1999,PORTÃO DE FERRO EM BARRA CHATA TIPO TIJOLINHO,M2,188.62
C3659,"PORTÃO DE METALON E BARRA CHATA DE FERRO C/FECHADURA E DOBRADIÇA, INCLUS. PINTURA ESMALTE SINTÉTICO",M2,388.17
C2903,"PORTÃO DE TUBO DE AÇO GALVANIZADO DE 2"" (1X2)m, INCL. PILARES DE SUSTENTAÇÃO",UN,1360.02
C2904,"PORTÃO DE TUBO DE AÇO GALVANIZADO DE 2"" (4X2)m, INCL.. PILARES DE SUSTENTAÇÃO",UN,4026.92
C3729,REMANEJAMENTO DE ESQUADRIAS DE ALUMÍNIO,M2,66.27
C2423,"TELA METÁLICA AÇO GALVANIZADO, MALHA (13 X 13)MM2",M2,104.75
C3249,TRANCA EM FERRO PARA CELAS PRISIONAIS,UN,290.09
C4400,"TELA DE AÇO ELETROSOLDADA COM FIOS DE 3,4mm C/ 15 cm (INSTALADO)",KG,6.9
C4401,"TELA DE AÇO ELETROSOLDADA COM FIOS DE 5,0mm C/ 15 cm (INSTALADO)",KG,6.42
C0221,ARMÁRIO ALTO EM DIVISÓRIA (ABERTO),M2,353.7
C0222,ARMÁRIO BAIXO EM DIVISÓRIA (FECHADO),M2,483.59
C0223,ARMÁRIO DE AÇO P/ UTENSÍLIOS (1.90X0.90X0.50)m,UN,550.15
C0224,ARMÁRIO DE AÇO TIPO ESCANINHO - MODELO 3 PORTAS,UN,215.35
C0226,ARMÁRIO EM BRUMASA REVESTIDO COM FÓRMICA,M2,310.26
C0227,ARMÁRIO SOBREPOR EM MADEIRA C/ CAPEADO EM CEREJEIRA,M2,567.56
C0228,ARMÁRIO SOBREPOR EM MADEIRA SUCUPIRA,M2,542.11
C0353,BALCÃO EM BRUMASA REVESTIDO EM FÓRMICA,M2,558.79
C1450,GUARDA-ROUPA EM MADEIRA SUCUPIRA,M2,454.46
C2134,"RECIPIENTE PRÉ-MOLDADO C/PORTA EM CHAPA DE AÇO, P/GUARDAR TELEVISÃO",UN,254.44
C2295,SUPORTE METÁLICO PARA TELEVISÃO,UN,176.27
C0042,ALIZAR (GUARNIÇÃO) DE MADEIRA,M,9.03
C4422,ALIZAR DE MADEIRA L= 5 cm (1 FACE),CJ,39.79
C3437,ARMADOR DE EMBUTIR,UN,35.19
C3438,ARMADOR TIPO RABO DE ANDORINHA,UN,24.89
C3651,BATE-MACAS EM AÇO INOXIDÁVEL CONTRA IMPACTO EM PORTA DE MADEIRA,M2,640.75
C0585,CADEADO GRANDE PARA CELAS,UN,130.93
C0586,CADEADO MÉDIO,UN,22.33
C0587,CADEADO PEQUENO,UN,15
C0699,CAPEADO DE CEREJEIRA C/APLICAÇÃO,M2,48.83
C0700,CAPEADO DE MOGNO C/ APLICAÇÃO,M2,57.46
C0701,CAPEADO DE PAU-MARFIM C/ APLICAÇÃO,M2,55.26
C0922,CORRIMÃO EM ALUMÍNIO ANODIZADO,M,82.02
C0923,CORRIMÃO EM MADEIRA MACIÇA ( PINTADA ),M,74.22
C0924,CORRIMÃO EM TUBO DE AÇO INOX,M,236.24
C1144,"DOBRADIÇA CROMADA 3"" X 2 1/2""",UN,31.02
C1143,"DOBRADIÇA CROMADA 3 1/2"" X 3""",UN,40.41
C1145,DOBRADIÇA CROMADA TIPO PALMELA,UN,23.85
C1146,DOBRADIÇA CROMADA TIPO VAI - VEM,UN,85.57
C4588,DOBRADIÇA DE FERRO (PADRÃO POPULAR),UN,25.71
C4552,DOBRADIÇA PARA FIXAÇÃO EM GRANITO,UN,89.4
C1360,FECHADURA COMPLETA PARA PORTA EXTERNA,UN,136.1
C1361,FECHADURA COMPLETA PARA PORTA INTERNA,UN,129.6
C1362,FECHADURA DE TARJETA (LIVRE-OCUPADA),UN,97.04
C4553,FECHADURA DE TARJETA (LIVRE-OCUPADA) PARA FIXAÇÃO EM GRANITO,UN,97.04
C4587,FECHADURA DE SOBREPOR (PADRÃO POPULAR),UN,125.24
C1364,FERROLHO DE SOBREPOR OU EMBUTIR GRANDE,UN,22.43
C1365,FERROLHO DE SOBREPOR OU EMBUTIR MÉDIO,UN,19.68
C1366,FERROLHO DE SOBREPOR OU EMBUTIR PEQUENO,UN,11.36
C1407,FORRAMENTO EM AÇO (BATENTAÇO) LARG. =12cm,M,49.19
C3673,"FORRAMENTO EM AÇO C/PERFIL ""U""  L=15CM  - PARA PRESÍDIOS",M,47.33
C4421,FORRAMENTO DE MADEIRA L = 15 cm,CJ,373.85
C1408,FORRAMENTO OU BATENTE DE MADEIRA,M,39.77
C1447,GUARDA CORPO C/BARRA CHATA DE FERRO E CORRIMÃO EM MADEIRA MACIÇA,M2,185.75
C3683,GUARDA CORPO DE MADEIRA E CORDA DE SISAL,M,85.65
C1448,GUARDA CORPO DE TUBO DE AÇO INOX,M,132.98
C1449,"GUARDA CORPO METÁLICO EM TUBO DE AÇO GALVANIZADO DE 2 1/2""",M,335.87
C1795,MOLA HIDRÁULICA P/PORTA DE VIDRO,UN,613.78
C4954,"MOLA PNEUMÁTICA DE PISO, EM AÇO INOX, BLINDADA, P/ PORTAS DE ATÉ 120KG E LARGURA ATÉ 1,20M, COMPLETA",UN,229.54
C1796,MOLA P/ PORTA TIPO COIMBRA,UN,148.77
C3552,MUTIRÃO MISTO - ARMADOR RABO DE ANDORINHA,UN,19.57
C1868,PEGADOR METÁLICO P/PORTA (INTERNO),UN,42.84
C3522,PILAR EM MADEIRA LIMPA DE 1a. QUALIDADE 20cmX20cm,M,102.51
C3676,"PORTA DE PVC SANFONADA (0,80 X 2,10) COMPLETA - FORNECIMENTO E MONTAGEM",UN,116.55
C4556,"PORTÃO PIVOTANTE NYLOFOR, COMPOSTO DE QUADRO, PAINÉIS E ACESSÓRIOS COM PINTURA ELETROSTÁTICA COM TINTA POLIESTER, NAS CORES VERDE OU BRANCA, COM POSTE EM AÇO REVESTIDO, COR VERDE OU BRANCA - FORNECIMENTO E MONTAGEM",M2,494.52
C4557,"PORTÃO DESLIZANTE NYLOFOR, COMPOSTO DE QUADRO, PAINÉIS E ACESSÓRIOS COM PINTURA ELETROSTÁTICA COM TINTA POLIESTER, NAS CORES VERDE OU BRANCA, COM POSTE EM AÇO REVESTIDO, COR VERDE OU BRANCA - FORNECIMENTO E MONTAGEM								
",M2,494.52
C2031,PRENDEDOR METÁLICO PARA PORTA,UN,28.8
C2215,REVESTIMENTO DE FÓRMICA EM ESQUADRIAS OU MÓVEIS,M2,68.56
C2319,TARJETA CROMADA P/ JANELAS VENEZIANAS,UN,9.48
C3675,"VENEZIANA INDUSTRIAL DE PVC RÍGIDO, TRANSLÚCIDO E MONTANTES EM AÇO GALVANIZADO OU ALUMÍNIO (FORNECIM",M2,296.87
C2670,"VIDRO COMUM EM CAIXILHOS C/MASSA ESP.= 4mm, COLOCADO",M2,153.33
C2671,"VIDRO COMUM EM CAIXILHOS C/MASSA ESP.= 5mm, COLOCADO",M2,178.88
C2672,"VIDRO COMUM EM CAIXILHOS C/MASSA ESP.= 6mm, COLOCADO",M2,217.22
C2673,"VIDRO COMUM FUMÊ EM CAIXILHOS C/MASSA E= 4mm, COLOCADO",M2,204.44
C2674,"VIDRO COMUM FUMÊ EM CAIXILHOS C/MASSA E= 5mm, COLOCADO",M2,220.68
C2675,"VIDRO COMUM FUMÊ EM CAIXILHOS C/MASSA E= 6mm, COLOCADO",M2,306.66
C4826,"VIDRO LAMINADO DUPLO, INCOLOR, C/MASSA PARA CAIXILHOS E=6MM (FORNECIMENTO E COLOCAÇÃO)",M2,605.3
C2984,VIDRO TRANSLÚCIDO CANELADO OU MARTELADO E=3mm (COLOCADO),M2,127.77
C1382,FIXO 2 FOLHAS E BASCULANTE DE VIDRO TEMPERADO (1.80X2.10)m  E=10mm,CJ,2062.35
C1383,FIXO 2 FOLHAS. 2  BANDEIRAS E 1 CONTRAVENTAMENTO DE VIDRO TEMPERADO (1.80 X 3.50)m  E=10mm,CJ,3434.92
C1384,FIXO 3 FOLHAS 3 BANDEIRAS E 2 CONTRAVENTAMENTO DE VIDRO TEMPERADO (2.70 X3.50)m  E=10mm,CJ,5275.12
C1385,FIXO 3 FOLHAS E BASCULANTES 2 FOLHAS DE VIDRO TEMPERADO (0.70X2.10)m  E=10mm,CJ,3205.22
C1386,FIXO DE VIDRO TEMPERADO C/BANDEIRA (0.90X3.50)m  E=10mm,CJ,1637.74
C1387,FIXO DE VIDRO TEMPERADO 1 FOLHA   (0.90X2.10)m  E=10mm,CJ,972.6
C1388,FIXO DE VIDRO TEMPERADO 2 FOLHAS (1.80X2.10)m  E=10mm,CJ,1916.58
C1389,FIXO DE VIDRO TEMPERADO 3 FOLHAS (2.70X2.10)m  E=10mm,CJ,2860.56
C1390,FIXO E BASCULANTE DE VIDRO TEMPERADO  (0.90X2.10)m  E=10mm,CJ,1053.74
C1952,PORTA 2 FOLHAS C/BANDEIRA DE VIDRO TEMPERADO E=10mm C/MOLA (1.80X2.90)m,CJ,4448.73
C1953,PORTA 2 FOLHAS C/BANDEIRA DE VIDRO TEMPERADO E=10mm C/MOLA (1.80X3.50)m,CJ,4913.44
C1954,PORTA 2 FOLHAS C/BANDEIRA E FIXO 2 FLS. DE VIDRO TEMPERADO E=10mm (3.60X2.90)m,CJ,7016.71
C1955,PORTA 2 FOLHAS. FIXA 2 FOLHAS. 3 BANDEIRAS 2 CONTRAVENTAMENTO DE VIDRO TEMPERADO DE10mm (3.60X3.50)m,CJ,8651.23
C1956,PORTA C/BANDEIRA DE VIDRO TEMPERADO E=10mm C/MOLA (0.90X2.90)m  ,CJ,2295.92
C1957,PORTA C/BANDEIRA DE VIDRO TEMPERADO E=10mm C/MOLA (0.90X3.50)m,CJ,2528.28
C1972,PORTA DE VIDRO TEMPERADO 1 FOLHA (0.90X2.10)m  E=10mm,CJ,1847.17
C1971,PORTA DE VIDRO TEMPERADO  2 FOLHAS (1.80X2.10)m  E=10mm,CJ,3683.62
C4949,"VIDRO TEMPERADO INCOLOR C/MASSA E=6MM, COLOCADO",M2,270.97
C4950,"VIDRO TEMPERADO INCOLOR C/MASSA E=8MM, COLOCADO",M2,307.47
C4951,"VIDRO TEMPERADO INCOLOR C/MASSA E=10MM, COLOCADO",M2,366.5
C3650,GUICHÊ EM AÇO INOX E VIDRO TEMPERADO E=6MM,M2,480.96
C1451,GUICHÊ EM ALUMÍNIO E VIDRO TEMPERADO E=10mm,M2,570.92
C1873,PELÍCULA DE INSULFILM,M2,49.15
C1874,"PELÍCULA DE POLIÉSTER, INVESTIGAÇÃO",M2,94.82
C3649,VISOR COM VIDRO TEMPERADO E=6MM E MOLDURA DE AÇO INOX,M2,433.54
C2679,VISOR COM VIDRO TEMPERADO E=6mm E MOLDURA DE ALUMÍNIO,M2,365.97
C2680,VISOR COM VIDRO TEMPERADO E=6mm E MOLDURA DE MADEIRA,M2,385.33
C3722,ESTRUTURA DE MADEIRA P/ COBERTA DE PALHA DE CARNÁUBA,M2,97.17
C1336,ESTRUTURA DE MADEIRA P/ TELHA CERÂMICA OU CONCRETO VÃO 3 A 7m (TESOURAS / TERÇAS / CONTRAVENTAMENTOS / FERRAGENS),M2,115.96
C1337,ESTRUTURA DE MADEIRA P/ TELHA CERÂMICA OU CONCRETO VÃO 7 A 10m (TESOURAS / TERÇAS / CONTRAVENTAMENTOS / FERRAGENS),M2,131.53
C1335,ESTRUTURA DE MADEIRA P/ TELHA CERÂMICA OU CONCRETO VÃO 10 A 13m (TESOURAS / TERÇAS / CONTRAVENTAMENTOS / FERRAGENS),M2,149.35
C1338,"ESTRUTURA DE MADEIRA P/ TELHA ONDULADA DE FIBROCIMENTO, ALUMÍNIO OU PLÁSTICAS, VÃO 10m",M2,88
C1339,"ESTRUTURA DE MADEIRA P/ TELHA ONDULADA DE FIBROCIMENTO, ALUMÍNIO OU PLÁSTICAS,  VÃO 15m",M2,103.5
C1340,"ESTRUTURA DE MADEIRA P/ TELHA ONDULADA DE FIBROCIMENTO, ALUMÍNIO OU PLÁSTICAS, VÃO 20m",M2,125.57
C4511,"ESTRUTURA DE MADEIRA P/ TELHAS ONDULADAS DE FIBROCIMENTO, ALUMÍNIO OU PLÁSTICAS, APOIADA SOBRE PAREDES E/OU LAJES DE FORRO",M2,64.77
C1341,ESTRUTURA DE MADEIRA P/ TELHA ESTRUTURAL DE FIBROCIMENTO ANCORADA EM LAJES OU EM PAREDES,M2,32.68
C3005,MADEIRAMENTO P/TELHA CERÂMICA C/ REAPROVEITAMENTO,M2,43.6
C4459,"MADEIRAMENTO P/ TELHA CERÂMICA - (RIPA, CAIBRO)",M2,55.59
C4460,"MADEIRAMENTO P/ TELHA CERÂMICA - (RIPA, CAIBRO, LINHA)",M2,92.56
C4467,"MADEIRAMENTO P/TELHA CERÂMICA - (RIPA, CAIBRO, LINHA) - CASA POPULAR",M2,64.5
C3006,MADEIRAMENTO P/TELHA FIBROCIMENTO C/ REAPROVEITAMENTO,M2,43.18
C2237,RIPA DE PEROBA (2X8)cm,M,22.09
C2460,TESOURA EM MASSARANDUBA C/ACESSÓRIOS,M,123.43
C2678,"VIGA DE MADEIRA MACIÇA 6"" X 3""",M,62.34
C3721,"VIGA DE MADEIRA MACIÇA 10""x 4""",M,139.98
C0818,COLUNAS P/PÉ DIREITO DE 6m  VÃO DE 20m,M2,66.95
C0819,COLUNAS P/PÉ DIREITO DE 6m  VÃO DE 30m,M2,75.61
C0820,COLUNAS P/PÉ DIREITO DE 6m  VÃO DE 40m,M2,83.62
C1326,ESTRUTURA DE AÇO EM ARCO VÃO DE 20m,M2,152.8
C1327,ESTRUTURA DE AÇO EM ARCO VÃO DE 30m,M2,157.38
C1328,ESTRUTURA DE AÇO EM ARCO VÃO DE 40m,M2,170.21
C1329,ESTRUTURA DE AÇO EM SHED VÃO DE 20m,M2,211.97
C1330,ESTRUTURA DE AÇO EM SHED VÃO DE 30m,M2,220.21
C1331,ESTRUTURA DE AÇO EM SHED VÃO DE 40m,M2,228.18
C1332,ESTRUTURA DE AÇO TIPO FINK VÃO DE 20m,M2,167.43
C1333,ESTRUTURA DE AÇO TIPO FINK VÃO DE 30m,M2,175.86
C1334,ESTRUTURA DE AÇO TIPO FINK VÃO DE 40m,M2,182.94
C1318,ESTRUTURA DE ALUMÍNIO EM ARCO VÃO DE 20m,M2,202.82
C1319,ESTRUTURA DE ALUMÍNIO EM ARCO VÃO DE 30m,M2,225.84
C1320,ESTRUTURA DE ALUMÍNIO EM ARCO VÃO DE 40m,M2,248.87
C1324,ESTRUTURA DE ALUMÍNIO EM DUAS ÁGUAS VÃO DE 20m,M2,213.05
C1321,ESTRUTURA DE ALUMÍNIO EM DUAS ÁGUAS VÃO DE 25m,M2,228.4
C1322,ESTRUTURA DE ALUMÍNIO EM DUAS ÁGUAS VÃO DE 30m,M2,243.75
C1323,ESTRUTURA DE ALUMÍNIO EM DUAS ÁGUAS VÃO DE 40m,M2,269.33
C1325,ESTRUTURA DE ALUMÍNIO EM SHED VÃO DE 20 A 30m,M2,271.89
C1342,ESTRUTURA ESPACIAL DE ALUMÍNIO VÃO DE 20m,M2,209
C1343,ESTRUTURA ESPACIAL DE ALUMÍNIO VÃO DE 30m,M2,242.25
C1344,ESTRUTURA ESPACIAL DE ALUMÍNIO VÃO DE 40m,M2,272.95
C1345,ESTRUTURA ESPACIAL DE ALUMÍNIO VÃO DE 50m,M2,303.64
C1346,ESTRUTURA ESPACIAL DE ALUMÍNIO VÃO DE 60m,M2,334.34
C1352,"ESTRUTURA METÁLICA EM TUBO DE AÇO 150mm, INCLUS. PINTURA",M,554.29
C1353,"ESTRUTURA METÁLICA TRELIÇADA EM AÇO, EM MARQUISES",M2,220.22
C1600,LANTERNIM SIMPLES VÃO DE 20m,M2,28.57
C1601,LANTERNIM SIMPLES VÃO DE 30m,M2,36.81
C1602,LANTERNIM SIMPLES VÃO DE 40m,M2,47.45
C1597,LANTERNIM DUPLO VÃO DE 20m,M2,49.78
C1598,LANTERNIM DUPLO VÃO DE 30m,M2,58.2
C1599,LANTERNIM DUPLO VÃO DE 40m,M2,66.21
C1879,"PERFIL METÁLICO ' I ', PRÉ-PINTADO C/ H=200mm",M,347.71
C1878,"PERFIL METÁLICO  ' I ', PRÉ-PINTADO C/ H=300mm",M,633.99
C1880,"PERFIL METÁLICO ' I ', PRÉ-PINTADO C/ H=400mm",M,811.86
C1881,"PERFIL METÁLICO ' I ', PRÉ-PINTADO C/ H=500mm",M,1103.96
C4395,"PERFIL ""U"" EM ALUMÍNIO 3/4"" x 3/4"" P/ COBERTURA",M,28.19
C0041,ALGEIROZ EM TELHAMENTO COLONIAL,M,26.32
C0387,BEIRA E BICA EM TELHA COLONIAL,M,13.16
C0675,CANTONEIRA DE FIBROCIMENTO P/TELHA ONDULADA,M,46.78
C0768,CHAPA CORRUGADA DE ALUMÍNIO E=0.7MM,M2,87.13
C0803,COBERTURA C/TELHA PVC RÍGIDO INCLINAÇÃO 27%,M2,63.02
